Starting audit...
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:1: Using the '.*' form of import should be avoided - java.io.*. [AvoidStarImport]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:2: Using the '.*' form of import should be avoided - java.util.*. [AvoidStarImport]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:3: Using the '.*' form of import should be avoided - java.text.*. [AvoidStarImport]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:3: Wrong lexicographical order for 'java.text.*' import. Should be before 'java.util.*'. [CustomImportOrder]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:4: Using the '.*' form of import should be avoided - java.math.*. [AvoidStarImport]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:4: Wrong lexicographical order for 'java.math.*' import. Should be before 'java.util.*'. [CustomImportOrder]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:5: Using the '.*' form of import should be avoided - java.util.regex.*. [AvoidStarImport]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:7: The name of the outer type and the file do not match. [OuterTypeFilename]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:9: 'member def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:185: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:186: 'method def rcurly' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:188: 'method def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:189: 'while' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:190: 'while' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:191: 'while rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:192: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:193: 'method def rcurly' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:195: 'class def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:196: 'member def modifier' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:197: 'member def modifier' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:199: 'ctor def modifier' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:200: 'ctor def' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:201: 'ctor def' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:202: 'ctor def rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:203: 'class def rcurly' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:205: 'class def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:206: 'member def modifier' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:207: 'member def modifier' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:209: 'ctor def modifier' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:210: 'ctor def' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:211: 'ctor def' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:212: 'ctor def rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:214: 'method def modifier' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:216: 'if' construct must use '{}'s. [NeedBraces]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:216: 'if' has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:217: 'if' construct must use '{}'s. [NeedBraces]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:217: 'if' has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:219: 'method def' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:221: 'if' construct must use '{}'s. [NeedBraces]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:221: 'if' has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:222: 'method def' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:224: 'method def rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:226: 'method def modifier' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:228: 'method def' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:229: 'method def' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:230: 'method def' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:231: 'method def rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:233: 'method def modifier' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:235: 'method def' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:235:27: '+' should be on a new line. [OperatorWrap]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:236:34: '+' should be on a new line. [OperatorWrap]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:237:40: '+' should be on a new line. [OperatorWrap]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:239: 'method def rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:240: 'class def rcurly' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:242: 'class def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:243: 'member def modifier' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:244: 'member def modifier' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:246: 'ctor def modifier' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:247: 'ctor def' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:248: 'ctor def' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:249: 'ctor def rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:251: 'method def modifier' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:252: 'method def' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:253: 'method def rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:255: 'method def modifier' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:256: 'method def' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:257: 'method def rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:259: 'method def modifier' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:261: 'if' construct must use '{}'s. [NeedBraces]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:261: 'if' has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:262: 'if' construct must use '{}'s. [NeedBraces]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:262: 'if' has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:264: 'method def' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:266: 'if' construct must use '{}'s. [NeedBraces]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:266: 'if' has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:267: 'method def' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:269: 'method def rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:271: 'method def modifier' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:273: 'method def' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:274: 'method def' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:275: 'method def' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:276: 'method def rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:278: 'method def modifier' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:280: 'method def' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:280:28: '+' should be on a new line. [OperatorWrap]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:281:34: '+' should be on a new line. [OperatorWrap]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:282:40: '+' should be on a new line. [OperatorWrap]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:284: 'method def rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:285: 'class def rcurly' has incorrect indentation level 4, expected level should be 2. [Indentation]
Audit done.
